group_name,type,enabled,note
538 Đường 3/2 Quận 10,source,1,
"53A Trần Đình Xu, P.Cầu Kho Quận 1",source,1,
54 Võ Thành Trang P11 Tân Bình,source,1,
"54/4 Ký Con, P.NT Bình Q1 - Thiên An House",source,1,
"544 Nguyễn Văn Công, Hạnh Thông, HCM",source,1,
549/..107..HOUSE GO VAP,source,1,
"55 Hiệp Nhất,P4,Tân Bình",source,1,
"55 Ni Sư Huỳnh Liên, phường Bảy Hiền, HCM",source,1,
55/107/49 Thành Mỹ Tân Bình,source,1,
"55/82 Nguyễn Văn Công, Gò Vấp",source,1,
"553 Lê Văn Thọ, P14, GV",source,1,
"566 Nguyễn Thái Sơn - Căn Hộ , 2 PN",source,1,
"566/137/68b Nguyễn thái Sơn, Gò Vấp",source,1,
57 Bế Văn Đàn Tb,source,1,
"57/30 Bầu Cát 8, Tân Bình",source,1,
576 Dương Quảng Hàm 2PN - PIKA HOUSE,source,1,
58.1 Đồng Nai phường 15 Quận 10,source,1,
5K-House 3tr -> 5tr Mr. Khánh,source,1,
5K-House 5tr ->10tr Cityland Park Hills,source,1,
"60/2A Lý Chính Thắng, P.Võ Thị Sáu, Q3 - JOO HOUSE",source,1,
60/32 Huỳnh Khương An. P5. Gò Vấp,source,1,
"600/33 Quang Trung, P11, Gò Vấp - ROYALHOME",source,1,
"601 Sư Vạn Hạnh, P.13 ,Quận 10",source,1,
"606 Đường 3/2, P14, Q10",source,1,
606/49/5 đường 3/2 quận 10,source,1,
"61 NGUYỄN TRỌNG LỘI, P4, TÂN BÌNH",source,1,
61/10 Cô Giang P.Cầu Ông Lãnh Q.1,source,1,
"61/10 Cô Giang, P Cầu Ông Lãnh, Q1 - Jun Homestay",source,1,
"61/38 đường số 1, Phường Bảy Hiền, Tân Bình",source,1,
616/11/43 Lê Đức Thọ P15 Gò vấp,source,1,
"618/61/41 Quang Trung,P11, GV >4tr",source,1,
62/10 Thạch Thị Thanh Q1 - Agents,source,1,
622/20CỘNG HOÀ + 48 LÊ TẤN QUỐC + 63TRẦN VĂN DANH,source,1,
"622/32 Cộng Hoà, Tân Bình",source,1,
"623a Hậu Giang, P Bình Phú ( Quận 6 )",source,1,
64 Tái Thiết Tân Bình,source,1,
64/6a Cửu long P2 Tân Bình,source,1,
646/4 Quang Trung,source,1,
"65/14 Giải Phóng, Tân Bình (Sân Bay) - GroupSales",source,1,
"65/28 Giải Phóng, P4, Tân Bình - ROOMY",source,1,
"656/6 Quang Trung, P11, GÒ VẤP",source,1,
66/23/7 Huỳnh Văn Nghệ P15 Tân Bình,source,1,
664 Vườn Lài phường An Phú Đông quận 12,source,1,
664/133 Nguyễn Đình Chiểu,source,1,
685/21 QUANG TRUNG- CHDV GÒ VẤP,source,1,
686/72/43 CMT8 P11 Q3,source,1,
689 3/2 - 82 Bà Hạt -388 Vĩnh Viễn,source,1,
"69 Lê Văn Huân, Q.TB - SALE",source,1,
"7/20 ĐƯỜNG A ,TÂN PHÚ - BB HOUSE",source,1,
702/50/12 lê đức thọ P16 gò vấp,source,1,
71-79 Hồ Bá Kiện - CHDV - Căn hộ 1PN - A Hoàng,source,1,
71/12/25 Nguyễn Bặc Tân Bình,source,1,
"71/20/8 Đường Số 6, Gò Vấp",source,1,
"71/40 Đường số 6, P. An Hội Đông , Gò Vấp",source,1,
"71/48/3D Lê Đức Thọ, P15 2PN - PIKA HOUSE",source,1,
710/24 luỹ bán bích ( gần Bàu cát TB),source,1,
712 nguyễn chí thanh ( ngay bệnh viện chợ rẫy,source,1,
"71D/23 Đs 59, Phạm Văn Chiêu , Gò Vấp - PIKA HOUSE",source,1,
72/23/17 Đường Số 30 Phường An nhơn Quận Gò Vấp,source,1,
"73 Thành Thái, F14, Quận 10 - Central House",source,1,
730/13/12 Lạc long Quân phường 9 Tân Bình,source,1,
"730/130 Lê Đức Thọ, P. An Hội Đông (Gò Vấp)",source,1,
736/180/15 Lê Đức Thọ P15 Gò Vấp - VINCENT HOUSE,source,1,
"74/11 Trần Thái Tông, Tb",source,1,
"74/14B NÚI THÀNH , TÂN BÌNH ( GẦN ETOWN )",source,1,
"74/32 Thạch Thị Thanh , Tân Định Q1",source,1,
"74/4/15 Bạch Đằng, P2, Tân Bình",source,1,
745/78 quang trung CHDV Gò Vấp,source,1,
"75/5C Nguyễn Đình Chiểu, 486/10 Phan Xích Long",source,1,
752/38/7 LẠC LONG QUÂN,source,1,
759/60E Hương Lộ 2. Bình Tân,source,1,
"76 ĐẤT THÁNH, P6, QUẬN TÂN BÌNH",source,1,
77/49 Nhất Chi Mai F13 Tân Bình,source,1,
"78 Bạch Đằng, Tân Bình",source,1,
"78/13 An Dương Vương P9, Q5",source,1,
799 Hoàng Sa - 451/40 Hai Bà Trưng,source,1,
799/22/6 Nguyễn Kiệm,source,1,
"8 Huyền Quang,P. Tân Định, Q.1",source,1,
"8 Ngô Tất Tố, P. TMT",source,1,
8/4 NGUYỄN ĐÌNH KHƠI- F4- TÂN BÌNH,source,1,
"8/69 Nguyễn Đình Khởi, F.4,Q.Tân Bình",source,1,
80/34 Trần Quang Diệu,source,1,
"805/19 Phan Văn Trị, GÒ VẤP",source,1,
805/7 phan văn trị gò vấp MiNi,source,1,
819 Quang Trung 2PN 1PN GV - PIKA HOUSE,source,1,
"819/22 Nguyễn Kiệm, Phường 3, Gò Vấp",source,1,
820 CMT8 & 77-79 Bầu Cát- nhóm Sale,source,1,
"83/3B Bạch Đằng + 24/33 Lam Sơn, Ph Tân Sơn Hoà",source,1,
835/12 Trần Hưng Đạo P1 Quận 5,source,1,
"84 Võ Thị Sáu, Tân Định, Q1 - JOO HOUSE",source,1,
842/1/17 NGUYỄN KIỆM - GÒ VẤP - PHÚ NHUẬN,source,1,
85/26/17 PHẠM VĂN HAI,source,1,
"85/9 Nguyễn Phi Khanh, Tân Định , quận 1",source,1,
872/7 Quang Trung Thông Tây Hội,source,1,
89/6 TRẦN QUỐC TOẢN. PVTS. Q3,source,1,
9/8 Lưu Nhân Chú Q.TB,source,1,
90 Nguyễn Sỹ Sách Tân Bình,source,1,
